gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_scaled,MonthlyCharges_scaled,TotalCharges_scaled
0,0,0,0,72,1,1,107.5,7853.7,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1.6125732136881425,1.419426492402149,2.457590461100858
0,0,1,0,47,1,1,100.5,4707.1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0.5939741817803856,1.1867433888151402,1.0693499834162248
1,0,0,0,60,1,1,89.9,5450.7,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1.1236456783724194,0.8343946890976701,1.3974169824648146
1,0,1,0,72,0,0,42.1,2962.0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1.6125732136881425,-0.7544985039679034,0.2994337380696746
0,0,1,1,18,1,1,54.4,957.1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,-0.5876006952326126,-0.3456410505221597,-0.5851030107099358
0,0,0,0,9,1,0,94.4,857.25,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,-0.9542963467194051,0.9839766842607471,-0.6291555791002016
0,0,0,0,3,1,1,75.3,244.1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,-1.1987601143772668,0.3490842159019089,-0.8996696733264564
1,0,1,0,47,1,1,78.9,3650.35,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0.5939741817803856,0.4687498120323708,0.6031251296714726
0,0,0,0,31,1,0,79.2,2497.2,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,-0.05792919864057891,0.4787219450432425,0.09436980429105073
0,0,1,1,50,1,0,20.15,930.9,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0.7162060656093164,-1.4841262359300234,-0.5966621222955638
1,0,0,0,10,1,1,79.85,887.35,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,-0.9135523854430948,0.5003282332334644,-0.6158758364006823
1,0,0,0,1,1,0,49.05,49.05,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,-1.2802480369298874,-0.5234774225493735,-0.9857232883942716
0,0,1,1,52,1,1,20.4,1090.65,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0.797693988161937,-1.4758161250876303,-0.5261824247457894
1,1,1,1,64,1,1,111.6,7099.0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1.2866215234776603,1.5557123102173966,2.124626281189655
1,0,1,1,62,1,1,24.25,1424.6,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1.2051336009250397,-1.3478404181147754,-0.3788478707755411
0,0,0,1,3,1,1,64.5,177.4,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,-1.1987601143772668,-0.009912572489475751,-0.929096877248647
0,1,0,0,56,1,0,110.5,6139.5,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0.9606698332671781,1.5191478225108668,1.7013069084259078
0,0,0,0,46,1,0,55.65,2688.85,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0.5532302205040753,-0.30409049631019386,0.17892338197752508
0,0,1,1,8,1,0,54.65,482.25,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,-0.9950403079957154,-0.3373309396797665,-0.7946008785128177
1,1,0,0,30,1,1,74.75,2111.3,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,-0.09867315991688919,0.33080197204864403,-0.07588443849115852
0,0,1,1,45,1,1,25.9,1216.6,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0.512486259227765,-1.2929936865549807,-0.47061486351640547
0,0,0,1,1,1,1,79.35,79.35,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,-1.2802480369298874,0.48370801154867815,-0.9723553082017324
0,0,1,1,11,0,0,50.55,565.35,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,-0.8728084241667845,-0.47361675749501453,-0.757938200162982
0,0,1,0,7,1,1,75.15,496.9,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1.0357842692720256,0.3440981493964733,-0.7881374821490981
0,0,0,0,42,1,1,103.8,4327.5,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0.3902543753988342,1.2964368519347298,0.9018752216641471
0,0,1,0,49,1,1,20.15,973.35,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0.6754621043330061,-1.4841262359300234,-0.5779337144020558
1,0,0,0,9,1,1,99.3,918.75,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,-0.9542963467194051,1.1468548567716528,-0.6020225499965326
0,0,1,0,35,1,1,62.15,2215.45,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0.10504664646466222,-0.08802761440797156,-0.029934764000961456
0,0,1,1,48,1,0,20.65,1057.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0.6347181430566958,-1.4675060142452372,-0.5410283829464149
0,0,1,1,46,1,1,19.95,927.1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0.5532302205040753,-1.4907743246039378,-0.5983386346629451
1,0,1,0,29,0,0,33.75,1009.25,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,-0.13941712119319946,-1.0320562061038352,-0.5620950844049546
1,0,1,1,30,1,0,82.05,2570.2,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-0.09867315991688919,0.5734572086465244,0.1265764892433733
1,1,0,0,1,1,0,74.7,74.7,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,-1.2802480369298874,0.32913994988016554,-0.9744068299144488
1,0,1,1,66,1,1,84.0,5714.25,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1.368109446030281,0.6382760732171912,1.5136919388920012
0,0,0,0,65,1,1,111.05,7107.0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1.3273654847539706,1.5374300663641316,2.128155780910457
1,0,0,0,72,1,1,100.9,7459.05,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1.6125732136881425,1.2000395661629695,2.283475827999021
0,0,0,0,12,1,1,78.95,927.35,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,-0.8320644628904743,0.47041183420084937,-0.59822833779667
1,0,1,1,71,1,1,66.85,4748.7,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1.5718292524118322,0.06820246942901982,1.0877033819643973
1,0,0,0,5,1,0,21.05,113.85,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,-1.1172721918246462,-1.4542098368974081,-0.9571343406557717
1,0,0,0,52,1,0,21.0,1107.2,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0.797693988161937,-1.4558718590658866,-0.5188807721983792
0,1,1,0,25,1,1,98.5,2514.5,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,-0.3023929662984406,1.1202625020759949,0.10200234743728616
1,0,0,0,1,1,0,20.2,20.2,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,-1.2802480369298874,-1.4824642137615447,-0.9984515467624158
0,0,1,1,1,1,0,19.45,19.45,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,-1.2802480369298874,-1.5073945462887242,-0.998782437361241
1,0,0,0,38,1,0,95.0,3605.6,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0.22727853029359305,1.0039209502824906,0.5833819906082337
0,1,1,0,66,0,0,45.55,3027.25,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1.368109446030281,-0.6398189743428778,0.3282212201674698
1,0,1,0,68,1,1,110.0,7611.85,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1.4495973685829016,1.5025276008260804,2.3508892726663486
1,0,0,0,5,0,0,24.3,100.2,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,-1.1172721918246462,-1.346178395946297,-0.963156549554391
0,0,1,1,72,1,1,104.15,7303.05,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1.6125732136881425,1.3080710071140806,2.214650583443373
0,0,0,0,32,0,0,30.15,927.65,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,-0.01718523736426863,-1.1517218022342968,-0.5980959815571398
1,0,0,0,43,1,0,94.35,3921.3,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0.4309983366751445,0.9823146620922681,0.7226648733404015
1,0,1,1,72,1,0,19.4,1363.25,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1.6125732136881425,-1.509056568457203,-0.4059147217594451
1,0,1,0,55,1,1,96.75,5238.9,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0.9199258719908678,1.0620917261792426,1.303973477356569
0,0,0,0,52,1,0,57.95,3042.25,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0.797693988161937,-0.2276374765601766,0.3348390321439745
0,0,0,0,43,1,1,91.65,3954.1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0.4309983366751445,0.8925654649944222,0.7371358221956916
0,1,1,0,37,1,1,76.5,2868.15,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0.18653456901728277,0.3889727479453962,0.25802829447001063
